Sentences,Presidential_Candidate,State,Annotator_1,Annotator_2,Annotator_3,Final Annotation,Action
"This is not good, you're doing something wrong, but I mean people just see this shit and if they don't want his ass, what the fuck you gonna do for you, what can Trump do for you?",Donald Trump,Arizona,-1,-1,-1,-1,Keep
"Like straight the **** up, you see what he wanna do.",Donald Trump,Arizona,-1,1,-1,-1,Keep
We don't gotta talk about what he wanna do cause we already know.,Donald Trump,Arizona,-1,0,0,0,Keep
"But hey, Republican speaking now against the Republican candidate, man, i mean what did Trump do for your ass though: hey, man, I feel like ain't no president ever agenda is to help black people.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
I think Trump go weird because I don't know.,Donald Trump,Arizona,-1,-1,-1,-1,Keep
"Based on 17 polls, 48% to 47%, it has tightened with the latest poll from Trump-aligned pollster, Fabricio Lee, showing them tied at 48 apiece.",Donald Trump,Arizona,1,0,0,0,Keep
"That is another lean Republican rating here on our electoral map, so 11 more electoral votes are added to Trump's column.",Donald Trump,Arizona,1,0,1,1,Keep
That Donald Trump does not represent us.,Donald Trump,Arizona,-1,-1,-1,-1,Keep
So January 6th makes Donald Trump absolutely unfit for office.,Donald Trump,Arizona,-1,-1,-1,-1,Keep
"Single-handedly, Donald Trump single-handedly changed the Republican Party from what it was.",Donald Trump,Arizona,1,1,1,1,Keep
I would say that who Donald Trump character is does not align with the type of person that I want to be as a disciple of Jesus Christ.,Donald Trump,Arizona,-1,-1,-1,-1,Keep
And that's just simply not going to happen under a Trump presidency.,Donald Trump,Arizona,-1,0,-1,-1,Keep
He's on the slander.,Donald Trump,Arizona,-1,-1,0,-1,Keep
"That's it, that's all he's not talking about what his plans are.",Donald Trump,Arizona,-1,-1,0,-1,Keep
"He's just slandering at this point, which I don't like that and I really wish that it would be more about what is, what are your plans as a president versus what are you just want to trash talk the next person because we can always say something bad about somebody.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
The Trump doesn't have a message.,Donald Trump,Arizona,0,-1,-1,-1,Keep
All he does is talk about himself.,Donald Trump,Arizona,-1,0,-1,-1,Keep
But Donald Trump tanked it.,Donald Trump,Arizona,0,-1,-1,-1,Keep
"Because you see, he prefers to run on a problem instead of fixing a problem.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
"Take them back, democratic strategist Stacey Pearson, however, believes Trump's talk of poor border security is incredible.",Donald Trump,Arizona,-1,1,1,1,Keep
And Donald Trump is named as an unindicted co-conspirator.,Donald Trump,Arizona,-1,-1,0,-1,Keep
And then you have those in Donald Trump's inner circle who also were involved in this conspiracy to interfere with a free and fair election in Arizona.,Donald Trump,Arizona,0,-1,-1,-1,Keep
"And yet he had avoided, he was an unindicted co-conspirator with Jack Smith.",Donald Trump,Arizona,1,1,1,1,Keep
"Arizona has been a hotbed of activity, most of it negative about the cling to power by Donald Trump.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
"They found that there wasn't even any, we had Rusty Bowers, the Speaker of the House of Arizona, pressured by both Donald Trump and Rudy Giuliani, one now indicted Rudy Giuliani, one an unindicted co-conspirator.",Donald Trump,Arizona,-1,-1,-1,-1,Keep
