Sentence,Presidential_Candidate,State,Vote_1,Vote_2,Final_Sent
"I tried to tell Peter Alexander this on Friday when she was in Michigan because she had that comment about, you know, even Mike Pence was loyal to Donald Trump.",Donald Trump,Michigan,1,1,1
Michigan's only boomerang county that backed Obama then Trump then Biden.,Donald Trump,Michigan,0,0,0
"Okay, then what happened: and then I just felt like he did a good job.",Donald Trump,Michigan,1,1,1
I like the fact that he was not a politician.,Donald Trump,Michigan,1,1,1
Both friends are backing Trump.,Donald Trump,Michigan,1,1,1
I don't like him as a person.,Donald Trump,Michigan,-1,-1,-1
But I think he's the best thing for the country.,Donald Trump,Michigan,1,1,1
How will you feel if Trump doesn't win: petrified.,Donald Trump,Michigan,-1,-1,-1
You see Obama won Eaton County twice so did Trump.,Donald Trump,Michigan,1,1,1
But Trump's 2020 margin was less than 1 percent and when I say less than 1 percent I mean 499 votes.,Donald Trump,Michigan,0,0,0
I know Trump went down some very seemingly ridiculous rabbit holes about cats and everything else.,Donald Trump,Michigan,-1,-1,-1
But that doesn't mean they don't still care about immigration and will not still continue to back Trump.,Donald Trump,Michigan,1,-1,1
"He quickly solidified his position as the front-runner, consistently garnering strong support among Republican voters.",Donald Trump,Michigan,1,1,1
"Trump remains a strong force within his party, and the 538 forecast as of this morning shows him ahead with a 53-47 edge.",Donald Trump,Michigan,1,1,1
"While much of the media has painted a narrative favoring Donald Trump as the front-runner, recent high-quality polls tell a more nuanced story.",Donald Trump,Michigan,1,1,1
"If he can flip any of these states, particularly Pennsylvania or Michigan, it could change the entire trajectory of the election.",Donald Trump,Michigan,0,0,0
Donald Trump said the tariff hikes on the income tax cuts as better to support manufacturing.,Donald Trump,Michigan,0,1,0
"Rather than any political considerations, running in 2016, Trump narrowly won Michigan as a whole.",Donald Trump,Michigan,1,1,1
"And so to set the scene for what it means in Michigan does go blue, it makes the pathway forward for Donald Trump a bit trickier as to how he wins the election.",Donald Trump,Michigan,-1,1,-1
"But a tied result is better than what again, the Republican Party and the mainstream press has been pushing is that Donald Trump is winning every battleground state.",Donald Trump,Michigan,1,1,1
"Because also too, what we saw was that the Donald Trump team started pulling some ad funding from the state of Michigan.",Donald Trump,Michigan,-1,0,-1
"Donald Trump will be in Michigan over the next two weeks, they'll be investing heavily into the state of Michigan.",Donald Trump,Michigan,1,0,1
"The most recent poll from Pennsylvania, the final one from Franklin and Marshall, they said that Donald Trump led by one point amongst likely voters in their final poll, amongst registered voters by four points.",Donald Trump,Michigan,1,0,1
"And the last poll that was conducted was the Detroit Free Press that showed Donald Trump with a seven point lead across the state of massive, massive improvement for the former president in the state.",Donald Trump,Michigan,1,1,1
"Although Rookler Politics has Donald Trump up in the average, they have yet to consider the Michigan State University poll.",Donald Trump,Michigan,1,0,0
"And the question remains, will Michigan hold blue as the polls are predicting, will it be a 2016 type of error where they end up going to Donald Trump, despite the preliminary data suggesting otherwise: so thank you guys so much for watching this video.",Donald Trump,Michigan,0,1,0
"So let's rewind to last night, obviously, President Trump speaking to those auto workers in Michigan, promising to keep manufacturing jobs stateside if he's elected in 2024.",Donald Trump,Michigan,1,1,1
"President Trump can say whatever he wants, but his record is really clear for workers here in Michigan.",Donald Trump,Michigan,0,1,1
"And President Trump can say whatever he wants, but we've seen his record that has been disastrous for the auto industry.",Donald Trump,Michigan,-1,-1,-1
It's been a key demographic for him. It's been his base.,Donald Trump,Michigan,1,0,1
"It's actually moving slightly away, so you go back eight years ago, he won him by 33.",Donald Trump,Michigan,-1,1,-1
