Sentence,Candidate,State,Vote 1,Vote 2,Final Sentiment
"With a little more than one month to go before the November election, Kamala Harris' presidential campaign is working to get Republicans to vote for Democrats.",Kamala Harris,Pennsylvania,0,0,0
"I'm Joey Mannequin, Patriot and in this video we're going to be discussing how Donald Trump is surging in the key state of Pennsylvania.",Donald Trump,Pennsylvania,1,0,1
So Donald Trump is really surging in the key state of Pennsylvania.,Donald Trump,Pennsylvania,1,0,1
"And if Donald Trump just wins Arizona and Georgia, which he is almost guaranteed to win at this point in time, and he wins the state of Pennsylvania, Donald Trump wins the presidency as he gets over the 270 electoral vote margin.",Donald Trump,Pennsylvania,1,1,1
So this is a key state for Donald Trump to win.,Donald Trump,Pennsylvania,0,1,1
"So this key Eastern Pennsylvania, if we're going to see Trump win, he's going to have to flip some of these counties as in North Hampton, possibly knee high, possibly Monroe, possibly Nakawana and in Dufferin county.",Donald Trump,Pennsylvania,0,1,0
"He won Erie County, he won North Hampton County.",Donald Trump,Pennsylvania,0,1,1
"And when you look at rural Pennsylvania, there's still a lot of votes out here for Donald Trump.",Donald Trump,Pennsylvania,1,0,1
"When you get these big world areas outside the city, you get when you make up that vote as an our county county when Trump's getting huge margins in these other counties surrounding Pittsburgh.",Donald Trump,Pennsylvania,0,1,1
He just has to shift the entire state of Pennsylvania into his column.,Donald Trump,Pennsylvania,0,0,0
And Trump just has to play are you better than you were four years ago card like President Reagan.,Donald Trump,Pennsylvania,0,1,0
"That's how he won, trump's doing better with the Tina voters as well.",Donald Trump,Pennsylvania,1,1,1
So that really is going to possibly help Trump because the Democrats are still divided on Israel and Hamas issue.,Donald Trump,Pennsylvania,0,1,0
"But I think Trump is playing very smart politically, saying he's for exceptions, he said they ended the debate.",Donald Trump,Pennsylvania,0,1,0
"Now, Trump's plan could potentially eliminate this burden.",Donald Trump,Pennsylvania,1,-1,1
"While Trump's proposal targets reducing individual tax bills, his broader economic plans focus on offering tax relief to the companies operating within the United States.",Donald Trump,Pennsylvania,0,1,0
His overseas tax cut pledge contrasts with the policies that would raise the taxes for businesses manufacturing offshore with tax reforms estimated to exceed $10 trillion over the next decade.,Donald Trump,Pennsylvania,0,-1,0
"Now, Trump's focus on tax cuts remains central to his 2024 campaign.",Donald Trump,Pennsylvania,0,-1,0
