Sentences,Presidential_Candidate,State,Vote_1,Vote_2,Final_Sent,Predicted_Sent
And the campaign has had a robust public relations plan to go out to make sure that the public understands her policy position.,Kamala Harris,Pennsylvania,0,1,0,1
"Concrete plans, that's who Kamala is.",Kamala Harris,Arizona,1,0,1,0
What Kamala and her radical left cronies have done to the state of Arizona is a crime that can never be forgiven.,Kamala Harris,Arizona,1,-1,-1,-1
"Also, essentially, they see Kamala Harris as someone who has not been very vocal about her Indian heritage.",Kamala Harris,Michigan,-1,0,-1,-1
She's she's behind by two points.,Kamala Harris,Arizona,1,-1,-1,-1
"Because when we ask men, what do you think the campaigns are paying attention to, most of them say that the Harris campaign isn't paying enough attention, too little, to the concerns of men.",Kamala Harris,Arizona,-1,0,-1,-1
"But Donald Trump's behavior is clearly another part of this equation, as are his criminal convictions.",Donald Trump,Michigan,-1,-1,-1,-1
But she must tout the administration's policies to validate her record and candidacy.,Kamala Harris,Arizona,1,0,0,0
"Now, so those are his intentions, i do have to point out that along with his intentions, there is also a question of his competence.",Donald Trump,Arizona,-1,0,-1,0
"Trump is doubling down on his appeal to the state's industrial workers and rural communities, emphasizing his commitments to job creation and energy independence.",Donald Trump,Pennsylvania,1,1,1,1
"And right now your message is, what Donald Trump says about our Haitian residents isn't true and isn't fair, but I'm still going to vote for him because he probably just needs to get to know us better.",Donald Trump,Pennsylvania,-1,0,-1,-1
Trump can argue that Democrats' opposition to these requirements is an attempt to undermine the security of the electoral process.,Donald Trump,Pennsylvania,0,-1,-1,-1
And now I'm on Kamala's team.,Kamala Harris,Pennsylvania,1,0,0,1
"Yet now, with Harris headlining the Democratic ticket, we have seen those gains diminish quite a bit.",Kamala Harris,Pennsylvania,0,1,0,0
"It's probably not going to affect anything, but you'll look at these numbers and this really is an absolute high for Donald Trump.",Donald Trump,Michigan,1,0,1,0
The striking thing about the polling is that she trails Donald Trump in every poll that we've had in Arizona.,Donald Trump,Arizona,1,0,1,1
