Sentence,Presidential_Candidate,State
Michigan's only boomerang county that backed Obama then Trump then Biden.,Donald Trump,Michigan
"Okay, then what happened: and then I just felt like he did a good job.",Donald Trump,Michigan
I like the fact that he was not a politician.,Donald Trump,Michigan
"No, I'm not so sure, retiree John Brady is backing Vice President Harris.",Kamala Harris,Michigan
She reflects more of what I see.,Kamala Harris,Michigan
Both friends are backing Trump.,Donald Trump,Michigan
I don't like him as a person.,Donald Trump,Michigan
But I think he's the best thing for the country.,Donald Trump,Michigan
How will you feel if Trump doesn't win: petrified.,Donald Trump,Michigan
You see Obama won Eaton County twice so did Trump.,Donald Trump,Michigan
But Trump's 2020 margin was less than 1 percent and when I say less than 1 percent I mean 499 votes.,Donald Trump,Michigan
Retired nurse Paul Mudri is a Reagan Democrat who backs Vice President Harris.,Kamala Harris,Michigan
Sloan Davis is part of the Harris coalition but half-heartedly.,Kamala Harris,Michigan
I know Trump went down some very seemingly ridiculous rabbit holes about cats and everything else.,Donald Trump,Michigan
But that doesn't mean they don't still care about immigration and will not still continue to back Trump.,Donald Trump,Michigan
"He quickly solidified his position as the front-runner, consistently garnering strong support among Republican voters.",Donald Trump,Michigan
"Under immense pressure from prominent Democrats fearing a loss, Biden decided to withdraw from the race, endorsing Vice President Kamala Harris as his successor.",Kamala Harris,Michigan
"Trump remains a strong force within his party, and the 538 forecast as of this morning shows him ahead with a 53-47 edge.",Donald Trump,Michigan
"Despite not having overwhelmingly positive favorability ratings, her stance on these key issues is helping her win over voters who may have reservations about her candidacy, but are still aligning with her on policy grounds.",Kamala Harris,Michigan
"While much of the media has painted a narrative favoring Donald Trump as the front-runner, recent high-quality polls tell a more nuanced story.",Donald Trump,Michigan
"In Michigan and Pennsylvania, Harris has a two-point edge in each, both of which are critical to either candidate's path to victory.",Kamala Harris,Michigan
One of the key factors driving Harris's performance is her overwhelming support among young women.,Kamala Harris,Michigan
"Additionally, Harris is performing well on issues like health care and abortion.",Kamala Harris,Michigan
"If she can maintain these leads, they could form a key part of her electoral firewall.",Kamala Harris,Michigan
"Harris had maintained a lead here throughout much of the campaign, but the latest data shows that the state has tightened.",Kamala Harris,Michigan
Donald Trump said the tariff hikes on the income tax cuts as better to support manufacturing.,Donald Trump,Michigan
"Rather than any political considerations, running in 2016, Trump narrowly won Michigan as a whole.",Donald Trump,Michigan
"You can see on the basis of this result, Kamala Harris narrowly wins, but literally she's on the nose.",Kamala Harris,Michigan
"She's on 270, and there's a particular peculiarity about this scenario, which is you can see here, this is the state of Nebraska.",Kamala Harris,Michigan
And today we are gonna be talking about the battleground state of Michigan getting a whole new set of new polls out of the state showing Kamala Harris expanding from where she was before of a minor lead across the state.,Kamala Harris,Michigan
Now to the most recent poll from Michigan State University showing Kamala Harris with roughly a 4.6% 4.7% lead across the battleground state.,Kamala Harris,Michigan
That showed Michigan in a position where Kamala Harris held a two point lead against the former president.,Kamala Harris,Michigan
"And like I said, Emerson College, not Emerson College, Bloomberg and Morning Consult, the Michigan State University poll, some other data points too that we've been seeing, Quinnipiac University just released a data point just a few days ago, showing Kamala Harris with a 3-point lead in the state of Michigan.",Kamala Harris,Michigan
"And so to set the scene for what it means in Michigan does go blue, it makes the pathway forward for Donald Trump a bit trickier as to how he wins the election.",Donald Trump,Michigan
"And granted, the numbers in Michigan don't always translate to amazing numbers for Kamala Harris in states like Wisconsin.",Kamala Harris,Michigan
"But a tied result is better than what again, the Republican Party and the mainstream press has been pushing is that Donald Trump is winning every battleground state.",Donald Trump,Michigan
"241 to 219 means that Kamala Harris also has additional pathways to the presidency because Michigan has given her 15 electoral votes that boosts her forward, right: boost her to 241.",Kamala Harris,Michigan
"She's no longer at that number, 226, which is where she was before, 241 from 226.",Kamala Harris,Michigan
That's good for Kamala Harris.,Kamala Harris,Michigan
It gives her options as to how she reaches the magic number of 270 electoral votes.,Kamala Harris,Michigan
"And so you can see Georgia, Arizona, Nevada, and Michigan would be enough to put Kamala Harris over 270, which means even if she loses Florida, Texas, Iowa, Ohio, Wisconsin, Pennsylvania, Pennsylvania would really be a shocker here.",Kamala Harris,Michigan
"Because also too, what we saw was that the Donald Trump team started pulling some ad funding from the state of Michigan.",Donald Trump,Michigan
Now I'm not gonna say they're giving up Michigan by any means.,Donald Trump,Michigan
"Donald Trump will be in Michigan over the next two weeks, they'll be investing heavily into the state of Michigan.",Donald Trump,Michigan
"But I think that also speaks to the range at which we could see Harris win by one, two, three points.",Kamala Harris,Michigan
"Doesn't mean she would be guaranteed to win it, the answer is absolutely not.",Kamala Harris,Michigan
Michigan was a complete crap show for Joe Biden when he was running against Trump down 2.1%.,Donald Trump,Michigan
"And the last poll that was conducted was the Detroit Free Press that showed Donald Trump with a seven point lead across the state of massive, massive improvement for the former president in the state.",Donald Trump,Michigan
"Although Rookler Politics has Donald Trump up in the average, they have yet to consider the Michigan State University poll.",Donald Trump,Michigan
"And I mean, all these different things, Quinnipiac, Michigan State University, TLDR, the numbers are getting better for Kamala Harris in Michigan.",Kamala Harris,Michigan
No guarantee that she wins Michigan at this point.,Kamala Harris,Michigan
"It's obviously more likely than not, but I will say this, Michigan has been a tricky one for Kamala Harris.",Kamala Harris,Michigan
"But as of right now, the numbers are telling us that Kamala Harris is doing a lot better in Michigan than she was before.",Kamala Harris,Michigan
